ID,age,gender,ethnicity,school,TIME,Duration (in seconds),lat,long,FB_Regard_Rating,FB_Privacy_Rating,FB_Recommend,Insta_Regard_Rating,Insta_Privacy_Rating,Insta_Recommend,WA_Regard_Rating,WA_Privacy_Rating,WA_Recommend
225,2,1,1,8,09:00,571,32.81480408,-96.87049866,7,7,10,7,3,7,7,8,10
226,5,1,1,5,08:00,473,37.76620483,-87.25910187,5,4,3,5,4,6,1,0,0
227,4,1,1,9,08:00,460,44.68490601,-92.88490295,2,3,1,5,5,5,1,0,0
228,3,2,1,9,07:00,396,37.34950256,-122.1163025,7,7,10,7,8,10,1,5,5
229,2,1,1,5,04:00,264,36.79679871,-76.17669678,7,5,6,1,1,0,4,0,0
230,3,1,1,8,10:00,607,42.65409851,-71.92199707,5,3,2,6,7,8,2,3,1
231,3,1,3,8,05:00,289,41.6934967,-87.61450195,3,9,5,3,8,3,4,2,1
232,3,2,1,6,10:00,574,37.68119812,-122.1344986,4,0,0,5,2,3,1,0,0
233,2,2,1,8,09:00,547,40.31489563,-86.89080048,4,0,5,6,7,7,1,5,5
234,4,2,3,8,11:00,654,37.50230408,-77.56929779,5,2,9,1,7,1,1,5,2
235,3,1,3,9,04:00,3857,40.72140503,-74.00520325,6,9,9,6,9,10,6,9,10
236,3,1,2,4,07:00,387,33.9230957,-118.1396027,6,7,7,1,2,2,6,2,8
237,1,1,1,5,08:00,511,39.99299622,-82.99849701,3,0,5,7,0,8,4,0,0
238,3,1,5,8,08:00,516,40.76370239,-73.77249908,4,2,5,1,2,0,5,6,7
239,2,1,2,9,15:00,900,44.90159607,-122.9223022,5,1,5,4,7,2,6,6,7
240,2,1,1,8,04:00,269,38.77009583,-77.63210297,6,5,7,7,9,9,7,10,10
241,3,1,1,7,06:00,369,36.11129761,-115.2790985,5,2,9,5,9,6,1,3,0
242,3,1,1,7,20:00,1237,34.22810364,-84.1780014,2,3,1,5,3,3,4,5,0
243,4,1,1,8,08:00,519,40.3117981,-88.146698,6,5,9,5,5,4,4,0,0
244,4,2,1,8,07:00,14793,40.75059509,-73.82039642,4,8,6,6,7,10,4,5,5
.,,,,,,,,,,,,,,,,,
