ID,age,gender,ethnicity,school,TIME,Duration (in seconds),lat,long,Company,Regard,Privacy,Recommend
157,4,2,1,8,7:00,421,39.07000732,-108.5376968,Facebook,2,0,5
158,4,2,1,5,14:00,827,42.0796051,-71.03820038,Facebook,7,6,10
159,2,1,5,8,12:00,737,39.93589783,-75.15339661,Facebook,7,2,4
160,5,1,1,9,13:00,781,33.82049561,-116.4586029,Facebook,4,5,6
161,6,1,3,7,7:00,420,30.290802,-81.63300323,Facebook,7,10,10
162,3,1,1,5,20:00,1215,40.10299683,-74.9414978,Facebook,5,7,6
163,3,1,1,8,6:00,380,36.17590332,-86.80930328,Facebook,2,1,2
164,2,1,1,8,8:00,481,42.88639832,-78.87809753,Facebook,7,9,10
165,3,2,1,5,14:00,842,28.00979614,-81.93370056,Facebook,6,7,9
166,2,1,1,5,11:00,700,27.43930054,-82.52140045,Facebook,1,2,0
167,3,1,3,5,24:00:00,1440,36.13330078,-86.80370331,Facebook,6,9,9
168,4,2,1,9,13:00,799,31.02909851,-97.85350037,Facebook,6,4,9
169,3,1,5,8,14:00,857,41.2348938,-96.0490036,Facebook,7,9,10
170,2,2,1,8,7:00,461,38.77009583,-77.63210297,Facebook,7,9,9
171,6,2,1,5,26:00:00,1526,30.52520752,-84.33209991,Facebook,7,10,10
172,2,2,3,8,27:00:00,1612,10.31669617,-72.3167038,Facebook,7,7,6
173,2,1,1,4,7:00,375,42.98750305,-82.46659851,Facebook,6,3,9
174,5,2,1,7,8:00,462,28.62939453,-81.36190033,Facebook,4,2,1
175,3,1,1,7,8:00,453,37.75100708,-97.8219986,Facebook,3,7,2
176,3,1,1,9,6:00,379,34.19650269,-118.8188019,Facebook,7,8,8
177,3,2,1,8,10:00,605,38.90420532,-77.03199768,Facebook,2,7,7
178,4,1,1,7,12:00,735,34.12229919,-117.7142944,Facebook,6,6,9
179,3,2,1,9,10:00,598,39.91229248,-75.15329742,Facebook,3,0,5
180,4,1,1,8,11:00,689,32.26860046,-111.0021973,Facebook,2,4,6
181,2,2,1,9,13:00,824,30.46769714,-84.13169861,Facebook,2,4,6
182,4,1,1,8,24:00:00,1447,44.27600098,-88.3730011,Facebook,4,3,5
183,6,1,1,8,11:00,623,40.92720032,-74.30390167,Facebook,2,0,5
184,5,2,1,4,15:00,883,44.45320129,-83.54090118,Facebook,3,1,8
185,3,1,1,5,4:00,203,30.63110352,-88.2818985,Facebook,5,2,2
186,3,1,1,5,4:00,264,39.73510742,-75.66840363,Facebook,4,2,6
187,2,1,1,8,23:00,1363,25.78059387,-80.18260193,Facebook,4,4,3
188,2,1,1,5,9:00,505,45.65109253,-111.1776962,Facebook,2,3,2
189,3,2,1,5,6:00,349,43.01390076,-71.43520355,Facebook,7,9,10
190,2,1,5,8,5:00,276,40.74969482,-73.85340118,Facebook,5,1,5
191,3,1,1,4,11:00,650,29.06550598,-95.38279724,Facebook,6,8,10
192,3,3,1,8,7:00,473,38.2631073,-90.56890106,Facebook,1,2,5
193,3,2,1,8,15:00,845,39.7696991,-76.65630341,Facebook,7,7,10
194,3,1,1,5,7:00,378,27.77879333,-82.68229675,Facebook,6,5,7
195,3,1,5,8,8:00,470,40.74000549,-73.93609619,Facebook,3,3,3
196,4,1,1,7,12:00,720,37.35400391,-76.74669647,Facebook,3,1,6
197,2,2,1,7,9:00,540,42.65800476,-83.18430328,Facebook,2,0,1
198,2,1,2,7,13:00,751,39.48849487,-88.35959625,Facebook,6,7,10
199,3,1,1,10,24:00:00,1465,33.67480469,-111.9518967,Facebook,7,7,7
200,3,2,3,5,10:00,579,34.3401947,-89.48329926,Facebook,7,7,10
201,2,2,1,8,9:00,506,23.72900391,90.41119385,Facebook,7,7,10
202,3,2,1,7,9:00,537,29.96800232,-90.02929688,Facebook,7,8,10
203,4,2,1,8,5:00,319,42.72860718,-83.14759827,Facebook,5,7,10
204,2,1,3,8,9:00,530,14.57530212,-60.97450256,Facebook,5,1,1
205,5,2,3,9,13:00,773,28.21580505,-82.6595993,Facebook,6,8,8
